name,table,rotor_rpm,x,y,z,nx,ny,nz,rotor_radius,hub_radius,rotor_thick
ccw_turbine-1,DOE_RM-1,11.5,-1502.07,-290.182,-36.3133,0.707107,-0.707107,0,10,0,2
ccw_turbine-2,DOE_RM-1,11.5,-1205.76,-62.2497,-38.0036,0.707107,-0.707107,0,10,0,2
ccw_turbine-3,DOE_RM-1,11.5,-1296.93,-495.321,-35.9851,0.707107,-0.707107,0,10,0,2
ccw_turbine-4,DOE_RM-1,11.5,-1000.62,-267.389,-36.4146,0.707107,-0.707107,0,10,0,2
ccw_turbine-5,DOE_RM-1,11.5,-1000.62,-518.114,-34.0429,0.707107,-0.707107,0,10,0,2
ccw_turbine-6,DOE_RM-1,11.5,-635.927,1328.14,-31.5837,0.707107,-0.707107,0,10,0,2
ccw_turbine-7,DOE_RM-1,11.5,-407.995,1442.1,-26.0364,0.707107,-0.707107,0,10,0,2
ccw_turbine-8,DOE_RM-1,11.5,-430.788,1259.76,-29.6708,0.707107,-0.707107,0,10,0,2
ccw_turbine-9,DOE_RM-1,11.5,-385.202,1123,-31.2779,0.707107,-0.707107,0,10,0,2
ccw_turbine-10,DOE_RM-1,11.5,-202.856,1259.76,-27.0718,0.707107,-0.707107,0,10,0,2
cw_turbine-1,DOE_RM-1,11.5,-1521.87,-309.981,-36.3133,0.707107,-0.707107,0,10,0,2
cw_turbine-2,DOE_RM-1,11.5,-1225.56,-82.0487,-38.0036,0.707107,-0.707107,0,10,0,2
cw_turbine-3,DOE_RM-1,11.5,-1316.73,-515.12,-35.9851,0.707107,-0.707107,0,10,0,2
cw_turbine-4,DOE_RM-1,11.5,-1020.42,-287.188,-36.4146,0.707107,-0.707107,0,10,0,2
cw_turbine-5,DOE_RM-1,11.5,-1020.42,-537.913,-34.0429,0.707107,-0.707107,0,10,0,2
cw_turbine-6,DOE_RM-1,11.5,-655.726,1308.34,-31.5837,0.707107,-0.707107,0,10,0,2
cw_turbine-7,DOE_RM-1,11.5,-427.794,1422.3,-26.0364,0.707107,-0.707107,0,10,0,2
cw_turbine-8,DOE_RM-1,11.5,-450.587,1239.96,-29.6708,0.707107,-0.707107,0,10,0,2
cw_turbine-9,DOE_RM-1,11.5,-405.001,1103.2,-31.2779,0.707107,-0.707107,0,10,0,2
cw_turbine-10,DOE_RM-1,11.5,-222.655,1239.96,-27.0718,0.707107,-0.707107,0,10,0,2
