WindSpeed_m/s,Power_Watts,ThrustCoefficient,RotorSpeed_rev/min
0.01,0,0,0
0.49,0,0,0
0.5,9069,0.769236,3.34
0.6,15671,0.769396,4.01
0.7,24885,0.769521,4.68
0.8,37146,0.769621,5.35
0.9,52890,0.769695,6.02
1,72551,0.769223,6.68
1.1,96566,0.769323,7.35
1.2,125368,0.7694,8.02
1.3,159395,0.769468,8.69
1.4,199080,0.769527,9.36
1.5,244860,0.769578,10.03
1.6,297169,0.769621,10.7
1.7,356444,0.769349,11.36
1.8,422574,0.75301,11.5
1.9,494001,0.731012,11.5
2,545101,0.629577,11.5
2.1,541377,0.49278,11.5
2.2,538518,0.408811,11.5
2.3,535701,0.347053,11.5
2.4,535425,0.300476,11.5
2.5,535155,0.262903,11.5
2.6,528464,0.229243,11.5
2.7,534537,0.20619,11.5
2.8,526646,0.181936,11.5
2.9,535569,0.166343,11.5
3,530329,0.149075,11.5
4,530329,0.149075,11.5
