WindSpeed_m/s,Power_Watts,ThrustCoefficient,RotorSpeed_rev/min
0.1,0.04,0.6727734878,373
0.2,0.28,0.6727734878,373
0.3,0.95,0.6727734878,373
0.4,2.26,0.6726948928,373
0.5,4.4,0.6727734878,373
0.6,7.61,0.6727385567,373
0.7,12.08,0.6727478242,373
0.8,18.04,0.6727538391,373
0.9,25.68,0.6727424379,373
1,35.23,0.6727483374,373
1.1,46.89,0.6727423096,373
1.2,60.88,0.6727385567,373
1.3,77.4,0.672751165,373
1.4,96.67,0.6727414082,373
1.5,118.9,0.672739954,373
1.6,144.3,0.6727489269,373
1.7,173.09,0.6727430289,373
1.8,205.46,0.6727502004,373
1.9,241.64,0.6727456203,373
2,281.84,0.6727420498,373
2.1,326.27,0.6727478242,373
2.2,375.13,0.6727449078,373
2.3,428.64,0.6727402075,373
2.4,487.02,0.6727472895,373
2.5,550.47,0.6727433073,373
2.6,619.2,0.6727400036,373
2.7,693.44,0.6727458879,373
2.8,773.37,0.6727430122,373
2.9,859.23,0.6727405919,373
3,951.22,0.6727455429,373
